lamp current (A),uncert (mV),filter1 (mV),filter2 (mV),filter3,f4,f5,f6(empty)
0,0.34,10.763,10.743,10.6,10.6,10.57,10.55
0.05,0.34,0,0,0,0,0,0
0.1,0.34,0,0,0,0,0,0
0.15,0.34,0,0,0,0,0,0
0.2,0.34,0,0,0,0,0,10.7
0.25,0.34,0,0,0,0,0,30.1
0.3,0.34,10.763,0,0,0,0,268.3
0.35,0.34,11.085,10.892,0,0,0,1313
0.4,0.34,12.51,11.53,10.85,0,0,3764
0.45,0.34,16.66,13.8,11.55,0,0,8480
0.5,0.34,26.97,19.48,13.8,0,0,10792
0.55,0.34,46.773,31.43,19.6,10.9,10.7,10794
0.6,0.34,81.82,53.961,31.8,11.3,10.9,10795
0.65,0.34,136.669,92.654,54.8,12.2,11.4,10795
0.7,0.34,219.91,153.67,94.1,13.6,12.2,0
0.75,0.34,338.63,243.2,136.7,16.1,13.8,0
0.8,0.34,5.01e+02,370.93,215.3,19.9,16.5,0
0.85,0.34,7.16e+02,547.7,324.8,25.5,20.7,0
