lamp current (A),uncert,detector current - no filter (mA) ,uncert,detector current - filter 1 (orange) (mA) ,uncert,detector current(green) - filter 2 (mA),Detector current filter 3(cyan)(mA) ,Detector current filter 4(purple),Filter_4 unc,Detector_current_5(purple part 2) mA
0.3,0.0005,0.0077,0.00001,0,0,0,0.00E+00,0,1.00E-06,0
0.35,0.0005,0.0387,0.00002,0,0,0,0,0,1.00E-06,0
0.4,0.0005,0.11391,0.00001,4.50E-05,1.00E-07,2.00E-05,7.00E-06,0,1.00E-06,0
0.45,0.0005,0,0,1.59E-04,1.00E-07,8.20E-05,3.00E-05,0,1.00E-06,0
0.5,0.0005,0.51075,0.00002,4.17E-04,1.00E-07,2.36E-04,9.60E-05,4.00E-06,1.00E-06,0
0.55,0.0005,0,0,9.30E-04,1.00E-07,5.73E-04,2.54E-04,9.00E-06,1.00E-06,6.00E-06
0.6,0.0005,1.4125,0.0001,1.87E-03,1.00E-07,1.20E-03,5.89E-04,1.90E-05,1.00E-06,1.30E-05
0.65,0.0005,0,0,3.38E-03,1.00E-07,2.30E-03,1.20E-03,4.20E-05,1.00E-06,2.60E-05
0.7,0.0005,3.028,0.0001,5.60E-03,1.00E-07,3.98E-03,2.21E-03,8.10E-05,1.00E-06,5.30E-05
0.75,0.0005,0,0,8.80E-03,1.00E-07,6.55E-03,3.80E-03,1.46E-04,1.00E-06,1.02E-04
0.8,0.0005,5.512,0.0001,1.33E-02,5.00E-07,0,0,0,1.00E-06,1.85E-04
