R2  / Ω,R3  / Ω,R4  / Ω,A1 / A,A2 / A,R1  / Ω,R/R_293
1,3.00E+03,3.50E+03,0,5.00E-03,1.17E+00,9.72E-01
1,3.00E+03,3.70E+03,0,2.20E-02,1.23E+00,1.03E+00
1,3.00E+03,3.80E+03,0,5.30E-02,1.27E+00,1.06E+00
1,2.50E+03,3.25E+03,0,0.06,1.30E+00,1.08E+00
1,3.00E+03,4.00E+03,0,8.00E-02,1.33E+00,1.11E+00
1,2.24E+03,3.20E+03,0,0.1,1.43E+00,1.19E+00
1,3.24E+03,5.00E+03,0,0.12,1.54E+00,1.29E+00
1,3.54E+03,6.00E+03,0,0.14,1.69E+00,1.41E+00
1,3.67E+03,7.00E+03,0,0.16,1.91E+00,1.59E+00
1,3.65E+03,8.00E+03,0,0.179,2.19E+00,1.83E+00
1,3.45E+03,9.00E+03,0,0.2,2.61E+00,2.17E+00
1,3.55E+03,1.10E+04,0,0.22,3.10E+00,2.58E+00
1,3.58E+03,1.20E+04,0,0.23,3.35E+00,2.79E+00
1,3.08E+03,1.22E+04,0,0.253,3.96E+00,3.30E+00
1,3.08E+03,1.42E+04,0,2.80E-01,4.63E+00,3.85E+00
1,3.34E+03,1.71E+04,0,3.02E-01,5.12E+00,4.27E+00
1,3.34E+03,1.78E+04,0,0.312,5.33E+00,4.44E+00
1,3.34E+03,1.93E+04,0,0.333,5.78E+00,4.82E+00
1,3.34E+03,1.99E+04,0,0.343,5.96E+00,4.97E+00
1,3.34E+03,1.99E+04,0,0.344,5.96E+00,4.97E+00
1,3.36E+03,2.10E+04,0,0.36,6.25E+00,5.21E+00
1,3.46E+03,2.42E+04,0,0.4,6.99E+00,5.83E+00
1,3470,27200,0,0.45,7.84E+00,6.53E+00
1,3.47E+03,3.00E+04,0,0.502,8.65E+00,7.20E+00
1,3470,32600,0,0.55,9.39E+00,7.83E+00
1,3.47E+03,3.52E+04,0,0.6,1.01E+01,8.45E+00
1,3.47E+03,3.79E+04,0,0.652,1.09E+01,9.10E+00
1,3.58E+03,4.15E+04,0,0.7,1.16E+01,9.66E+00
1,3.58E+03,4.41E+04,0,0.75,1.23E+01,1.03E+01
1,3.59E+03,4.60E+04,0,0.786,1.28E+01,1.07E+01
